frame,strain,analysis_variant,mode,center_kind,target_kind,r_lower_A,r_upper_A,r_mid_A,N_total,N_center,N_target,rho_target_1_per_A3,pair_count_shell,pair_count_cumulative,CN_sum_r,P_sum_r,g_r_RDF_like
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.5,1.0,0.75,432000,46117,59841,0.0078111688330818555,0,0,0.0,0.0,0.0
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.0,1.5,1.25,432000,46117,59841,0.0078111688330818555,0,0,0.0,0.0,0.0
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.5,2.0,1.75,432000,46117,59841,0.0078111688330818555,0,0,0.0,0.0,0.0
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.0,2.5,2.25,432000,46117,59841,0.0078111688330818555,476,476,0.010321573389422556,0.0,0.04137151479785215
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.5,3.0,2.75,432000,46117,59841,0.0078111688330818555,142485,142961,3.099963137237895,0.48704382331894963,8.301413737286216
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.0,3.5,3.25,432000,46117,59841,0.0078111688330818555,76154,219115,4.751284775679251,0.7974499642214368,3.1791667209166548
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.5,4.0,3.75,432000,46117,59841,0.0078111688330818555,41763,260878,5.656872736734827,0.8042587332220222,1.3101749406129068
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.0,4.5,4.25,432000,46117,59841,0.0078111688330818555,45817,306695,6.650367543422165,0.8208686601470173,1.1194152529052077
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.5,5.0,4.75,432000,46117,59841,0.0078111688330818555,110836,417531,9.053732896762583,0.8470629052193335,2.1683823224147973
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.0,5.5,5.25,432000,46117,59841,0.0078111688330818555,220744,638275,13.840340872129584,0.8813235899993495,3.535779871377552
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.5,6.0,5.75,432000,46117,59841,0.0078111688330818555,157739,796014,17.260749831949173,0.9031593555521825,2.106555382461965
